route	source_file	ko_file	type	translation	metadata	schema	links	desktop	mobile	language_review	notes
https://www.weglobalmarketing.com/	index.html	ko/index.html	core	complete	pass	pass	pass	pass	pass	pass	verified locally at desktop and 390px mobile; not deployed
https://www.weglobalmarketing.com/privacy	privacy.html	ko/privacy.html	core	complete	pass	pass	pass	pass	pass	pass	verified locally at desktop and 390px mobile; not deployed
https://www.weglobalmarketing.com/showcase	showcase.html	ko/showcase.html	core	complete	pass	pass	pass	pass	pass	pass	verified locally at desktop and 390px mobile; not deployed
https://www.weglobalmarketing.com/about	about.html	ko/about.html	core	complete	pass	pass	pass	pass	pass	pass	verified locally at desktop and 390px mobile; not deployed
https://www.weglobalmarketing.com/affiliate	affiliate.html	ko/affiliate.html	core	complete	pass	pass	pass	pass	pass	pass	verified locally at desktop and 390px mobile; not deployed
https://www.weglobalmarketing.com/services	services.html	ko/services.html	core	complete	pass	pass	pass	pass	pass	pass	verified locally at desktop and 390px mobile; not deployed
https://www.weglobalmarketing.com/consulting	consulting.html	ko/consulting.html	core	complete	pass	pass	pass	pass	pass	pass	verified locally at desktop and 390px mobile; not deployed
https://www.weglobalmarketing.com/blog	blog.html	ko/blog.html	core	complete	pass	pass	pass	pass	pass	pass	verified locally at desktop and 390px mobile; Korean article cards populate only after route review; not deployed
https://www.weglobalmarketing.com/blog/tiktok-shop-voice-of-customer-content-system	blog/tiktok-shop-voice-of-customer-content-system.html	ko/blog/tiktok-shop-voice-of-customer-content-system.html	blog	complete	pass	pass	pass	pass	pass	pass	verified locally at desktop and 390px mobile; not deployed
https://www.weglobalmarketing.com/blog/tiktok-shop-returns-margin-trust	blog/tiktok-shop-returns-margin-trust.html	ko/blog/tiktok-shop-returns-margin-trust.html	blog	complete	pass	pass	pass	pass	pass	pass	verified locally at desktop and 390px mobile; not deployed
https://www.weglobalmarketing.com/blog/tiktok-shop-performance-score-growth-ceiling	blog/tiktok-shop-performance-score-growth-ceiling.html	ko/blog/tiktok-shop-performance-score-growth-ceiling.html	blog	complete	pass	pass	pass	pass	pass	pass	verified locally at desktop and 390px mobile; not deployed
https://www.weglobalmarketing.com/blog/tiktok-shop-storefront-merchandising	blog/tiktok-shop-storefront-merchandising.html	ko/blog/tiktok-shop-storefront-merchandising.html	blog	complete	pass	pass	pass	pass	pass	pass	verified locally at desktop and 390px mobile; not deployed
https://www.weglobalmarketing.com/blog/tiktok-shop-sample-decision-system	blog/tiktok-shop-sample-decision-system.html	ko/blog/tiktok-shop-sample-decision-system.html	blog	complete	pass	pass	pass	pass	pass	pass	verified locally at desktop and 390px mobile; not deployed
https://www.weglobalmarketing.com/blog/tiktok-shop-creator-collaboration-model	blog/tiktok-shop-creator-collaboration-model.html	ko/blog/tiktok-shop-creator-collaboration-model.html	blog	complete	pass	pass	pass	pass	pass	pass	verified locally at desktop and 390px mobile; not deployed
https://www.weglobalmarketing.com/blog/tiktok-shop-gmv-max-readiness	blog/tiktok-shop-gmv-max-readiness.html	ko/blog/tiktok-shop-gmv-max-readiness.html	blog	complete	pass	pass	pass	pass	pass	pass	verified locally at desktop and 390px mobile; not deployed
https://www.weglobalmarketing.com/blog/tiktok-shop-discount-architecture	blog/tiktok-shop-discount-architecture.html	ko/blog/tiktok-shop-discount-architecture.html	blog	complete	pass	pass	pass	pass	pass	pass	verified locally at desktop and 390px mobile; not deployed
https://www.weglobalmarketing.com/blog/tiktok-shop-preorder-mto-backorder	blog/tiktok-shop-preorder-mto-backorder.html	ko/blog/tiktok-shop-preorder-mto-backorder.html	blog	complete	pass	pass	pass	pass	pass	pass	verified locally at desktop and 390px mobile; not deployed
https://www.weglobalmarketing.com/blog/tiktok-shop-catalog-architecture	blog/tiktok-shop-catalog-architecture.html	ko/blog/tiktok-shop-catalog-architecture.html	blog	complete	pass	pass	pass	pass	pass	pass	verified locally at desktop and 390px mobile; not deployed
https://www.weglobalmarketing.com/blog/tiktok-shop-hero-sku-search-demand	blog/tiktok-shop-hero-sku-search-demand.html	ko/blog/tiktok-shop-hero-sku-search-demand.html	blog	complete	pass	pass	pass	pass	pass	pass	verified locally at desktop and 390px mobile; not deployed
https://www.weglobalmarketing.com/blog/tiktok-shop-health-wellness-cold-start	blog/tiktok-shop-health-wellness-cold-start.html	ko/blog/tiktok-shop-health-wellness-cold-start.html	blog	complete	pass	pass	pass	pass	pass	pass	verified locally at desktop and 390px mobile; not deployed
https://www.weglobalmarketing.com/blog/tiktok-shop-beauty-cold-start	blog/tiktok-shop-beauty-cold-start.html	ko/blog/tiktok-shop-beauty-cold-start.html	blog	complete	pass	pass	pass	pass	pass	pass	verified locally at desktop and 390px mobile; not deployed
https://www.weglobalmarketing.com/blog/tiktok-shop-fashion-cold-start	blog/tiktok-shop-fashion-cold-start.html	ko/blog/tiktok-shop-fashion-cold-start.html	blog	complete	pass	pass	pass	pass	pass	pass	verified locally at desktop and 390px mobile; not deployed
https://www.weglobalmarketing.com/blog/tiktok-shop-food-beverage-cold-start	blog/tiktok-shop-food-beverage-cold-start.html	ko/blog/tiktok-shop-food-beverage-cold-start.html	blog	complete	pass	pass	pass	pass	pass	pass	verified locally at desktop and 390px mobile; not deployed
